parameter	bw_support	var	genome
-4.43186257447006e-5	0.321	0.00126927670340814	cmag_001
-1.49507025050832e-4	0.048	0.00406463105998884	cmag_002
-1.51701041100227e-4	0.057	0.00553139478713621	cmag_003
8.71020323453144e-5	0.833	0.00292455202769767	cmag_004
-5.7001743495481e-5	0.322	0.00342931357884121	cmag_005
-1.49676593058229e-4	0.027	0.00417491962460263	cmag_006
-1.51524118950343e-4	0.074	0.00589656397149909	cmag_007
-8.91259651663754e-5	0.087	0.00130311425152565	cmag_008
-1.79469054125957e-4	0.016	0.00533666512884339	cmag_009
-6.80509954921443e-5	0.236	0.00229853903752585	cmag_010
-5.30641503519462e-5	0.216	0.00145671257421682	cmag_011
-1.66263415516745e-4	0.051	0.0140338482741559	cmag_012
8.64207596732393e-5	0.789	0.00265231565400462	cmag_013
-2.27835447308027e-4	0.005	0.017039039806279	cmag_014
-8.79428112622228e-6	0.464	0.00246558821116052	cmag_015
-1.36173804494596e-4	0.057	0.00498598762789271	cmag_016
1.7097414574377e-5	0.611	8.57555804201489e-4	cmag_017
1.58079765996538e-5	0.586	0.00183834583360735	cmag_018
-8.71010907486293e-5	0.249	0.00269456481758229	cmag_019
-7.42995546805969e-5	0.172	0.00173586105133314	cmag_020
-2.60924229756699e-4	0.008	0.0282797368270356	cmag_021
3.12808218706503e-5	0.637	0.00129814925259512	cmag_022
-1.17933762319227e-4	0.092	0.00379966109232847	cmag_023
-1.32710186321906e-4	0.035	0.00389082002586477	cmag_024
2.33489509985661e-5	0.57	0.00262037079107989	cmag_025
-2.7420118715499e-4	0.012	0.0400337109939541	cmag_026
-1.59590470734706e-4	0.094	0.00851247242876536	cmag_027
-1.82944891288451e-5	0.397	3.59198028459404e-4	cmag_028
-1.16719326383145e-4	0.187	0.00372926095810981	cmag_029
-1.55563470592629e-4	0.056	0.00468285330625856	cmag_030
-8.80507555160856e-5	0.156	0.00375767634109735	cmag_031
2.71102415826542e-5	0.569	0.00251755398739053	cmag_032
-7.11594187832137e-5	0.212	0.00193950586151547	cmag_033
-1.19181206500836e-5	0.411	5.20562676462702e-4	cmag_034
-1.27167113013642e-4	0.015	0.00278090621982767	cmag_035
-9.75675843396575e-5	0.116	0.00286969467941893	cmag_036
-1.29764818126808e-4	0.024	0.00263778448922159	cmag_037
-1.07564471436596e-4	0.051	0.00188600701654511	cmag_038
-1.28211141730734e-4	0.099	0.00491003048277291	cmag_039
-1.8911147167836e-4	0.004	0.00602281205821288	cmag_040
