genome	domain	phylum	class	order	family	genus	species
cmag_001	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	RUG14156	Galligastranaerophilus_A	Galligastranaerophilus_A intestinigallinarum
cmag_002	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus	Negativibacillus faecipullorum
cmag_003	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	UMGS1781	
cmag_004	Bacteria	Firmicutes	Bacilli	RF39	UBA660	Faecisoma	
cmag_005	Bacteria	Firmicutes_A	Clostridia	Christensenellales	UBA1242	UMGS2069	UMGS2069 sp900557695
cmag_006	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum intestinipullorum
cmag_007	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Avoscillospira	Avoscillospira stercoripullorum
cmag_008	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Coprenecus	Coprenecus stercorigallinarum
cmag_009	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UBA1417	UBA1417 sp900552925
cmag_010	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	Coprocola	Coprocola pullicola
cmag_011	Bacteria	Firmicutes	Bacilli	RF39	UBA660	Onthousia	
cmag_012	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	CAG-274	JAHALF01	
cmag_013	Bacteria	Firmicutes	Bacilli	RF39	UBA660	Aphodocola	
cmag_014	Bacteria	Firmicutes_A	Clostridia	Christensenellales	UBA1242	Onthoplasma	
cmag_015	Bacteria	Firmicutes_A	Clostridia	Christensenellales	UBA1242	RGIG1681	
cmag_016	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269	
cmag_017	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis
cmag_018	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-465	RGIG5622	
cmag_019	Bacteria	Firmicutes_A	Clostridia	Christensenellales	CAG-314	Fimimonas	Fimimonas gallinarum
cmag_020	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium avium
cmag_021	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_E	
cmag_022	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-273	
cmag_023	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	Butyricicoccus pullicaecorum
cmag_024	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter faecigallinarum
cmag_025	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	Proteus mirabilis
cmag_026	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_D	Enterococcus_D gallinarum
cmag_027	Bacteria	Firmicutes_A	Clostridia	Christensenellales	CAG-314	CAG-314	CAG-314 sp000437915
cmag_028	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes excrementavium
cmag_029	Bacteria	Firmicutes_A	Clostridia	Christensenellales	UBA1242	UMGS687	
cmag_030	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Faecousia	Faecousia gallistercoris
cmag_031	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Egerieicola	
cmag_032	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Dwaynesavagella	Dwaynesavagella gallinarum
cmag_033	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269	
cmag_034	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	Intestinimonas pullistercoris
cmag_035	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter gallistercoris
cmag_036	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium_A	Lachnoclostridium_A avicola
cmag_037	Bacteria	Firmicutes_A	Clostridia	Christensenellales	Borkfalkiaceae	Borkfalkia	
cmag_038	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp900545895
cmag_039	Bacteria	Firmicutes_A	Clostridia	UBA1381	UBA1381	Ornithomonoglobus	Ornithomonoglobus merdipullorum
cmag_040	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Heritagella	
cmag_041	Bacteria	Firmicutes_A	Clostridia	Christensenellales	DTU072	CAG-1782	
cmag_042	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Faecousia	Faecousia faecavium
cmag_043	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
cmag_044	Bacteria	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	
cmag_045	Bacteria	Firmicutes_C	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	Megamonas funiformis
cmag_046	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae		
cmag_047	Bacteria	Firmicutes_A	Clostridia	Christensenellales	DTU072	Stercoripulliclostridium_A	Stercoripulliclostridium_A merdigallinarum
cmag_048	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	Acutalibacter sp904374805
cmag_049	Bacteria	Firmicutes_A	Clostridia	Christensenellales	Borkfalkiaceae	Gallimonas	Gallimonas intestinalis
cmag_050	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter intestinigallinarum
cmag_051	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	
cmag_052	Bacteria	Firmicutes_A	Clostridia	Christensenellales	UBA1242	Caccovivens	
cmag_053	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	RUG14156	Galligastranaerophilus	
cmag_054	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	UMGS1781	
cmag_055	Bacteria	Firmicutes_A	Clostridia	Christensenellales	UBA1242	Caccovivens	
cmag_056	Bacteria	Firmicutes	Bacilli	RF39	UBA660	UMGS2016	
cmag_057	Bacteria	Firmicutes	Bacilli	ML615J-28	CAG-313	CAG-313	CAG-313 sp900539265
cmag_058	Bacteria	Firmicutes_A	Clostridia	Christensenellales	CAG-552	Protoclostridium	
cmag_059	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Heritagella	Heritagella gallinarum
cmag_060	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Scatavimonas	Scatavimonas merdigallinarum
cmag_061	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269	
cmag_062	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	RUG14156	Galligastranaerophilus	Galligastranaerophilus faecipullorum
cmag_063	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium_B	Lachnoclostridium_B phocaeense
cmag_064	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Caccovicinus	Caccovicinus excrementipullorum
cmag_065	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia stercoripullorum
cmag_066	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter excrementipullorum
cmag_067	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A	Alistipes_A ihumii
cmag_068	Bacteria	Firmicutes	Bacilli	RF39	UBA660	Ventrenecus	
cmag_069	Bacteria	Firmicutes	Bacilli	RF39	UBA660	Caccenecus	Caccenecus sp900758895
cmag_070	Bacteria	Firmicutes	Bacilli	RF39	UBA660	Faecisoma	
cmag_071	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1370	UMGS1370 sp904395885
cmag_072	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269	
cmag_073	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	UBA1829	UBA1829	UBA1829 sp002338895
cmag_074	Bacteria	Firmicutes_A	Clostridia	Christensenellales	UBA3700	Ornithoclostridium	
